,advertiser,devicecategory,count
0,,Connected TV,670
1,,Desktop,778242
2,,Smartphone,2770667
3,,Tablet,616861
4,렌딧,Desktop,164
5,렌딧,Tablet,4
6,세스코,Smartphone,8
7,세스코,Tablet,2
8,야놀자,Smartphone,3
9,에듀윌,Desktop,4
10,에듀윌,Smartphone,1
11,칸투칸,Desktop,72
12,칸투칸,Smartphone,11
13,칸투칸,Tablet,3
14,파고다 교육그룹,Smartphone,3
15,내일투어,Desktop,2
16,랭킹닭컴,Desktop,14
17,랭킹닭컴,Tablet,1
18,아이비젼,Desktop,3
19,아이소이,Desktop,1
20,주식회사 퀄슨,Desktop,3
21,주식회사 퀄슨,Smartphone,1
22,주식회사 심야모임,Smartphone,1
23,주식회사 마크마운트,Desktop,3
24,ヴィエリス,Smartphone,1
25,대성마이맥,Desktop,1
26,박문각그룹,Desktop,2
27,배달의민족,Smartphone,6
28,서울문화사,Smartphone,2
29,에코마케팅,Desktop,2
30,오늘안치과,Smartphone,2
31,エコスタイル,Desktop,4
32,한성아카데미,Tablet,1
33,บริษัท เลนโซ่ วีล จำกัด,Desktop,36
34,บริษัท เลนโซ่ วีล จำกัด,Smartphone,52
35,บริษัท เลนโซ่ วีล จำกัด,Tablet,14
36,บริษัท นารายณ์พร็อพเพอตี้ จำกัด,Desktop,2
37,บริษัท นารายณ์พร็อพเพอตี้ จำกัด,Smartphone,10
38,セキスイハイム,Desktop,1
39,セキスイハイム,Smartphone,2
40,ベンチャーバンク,Desktop,2
41,레진엔터테인먼트,Desktop,1
42,레진엔터테인먼트,Tablet,3
43,서울게임아카데미,Desktop,2
44,서울게임아카데미,Smartphone,4
45,아이에스이커머스,Smartphone,1
46,이지드림대부중개,Smartphone,3
47,1000Bulbs.com,Desktop,7
48,1000Bulbs.com,Smartphone,82
49,1000Bulbs.com,Tablet,2
50,1001 Optical,Smartphone,44
51,1001 Optical,Tablet,23
52,1001salles,Desktop,1
53,1-2-3.fr,Desktop,4
54,1-2-3.fr,Smartphone,1
55,1-2-3.fr,Tablet,2
56,123Inkjets,Desktop,1
57,123RF,Desktop,581
58,12Pay Ltd,Desktop,16
59,12Pay Ltd,Smartphone,1
60,12wbt,Desktop,115
61,12wbt,Smartphone,916
62,12wbt,Tablet,458
63,17 Media,Smartphone,8
64,1-800 CONTACTS,Desktop,12
65,1-800 CONTACTS,Smartphone,16
66,1-800-Flowers.com,Desktop,7
67,1-800-Flowers.com,Smartphone,52
68,1-800-Flowers.com,Tablet,3
69,1A Auto,Desktop,1
70,1A Auto,Smartphone,4
71,1A Auto,Tablet,1
72,1C Company,Desktop,1
73,1C Company,Smartphone,2
74,1stdibs.com,Connected TV,4
75,1stdibs.com,Desktop,662
76,1stdibs.com,Smartphone,468
77,1stdibs.com,Tablet,200
78,1st In Coffee,Desktop,3
79,1st In Coffee,Smartphone,2
80,1st In Coffee,Tablet,2
81,บริษัท เกรียงกมล2009 จำกัด (สาขา 1),Desktop,2
82,21broadhotel.com,Desktop,1
83,21broadhotel.com,Smartphone,2
84,21sportsgroup,Desktop,5
85,21sportsgroup,Smartphone,7
86,21sportsgroup,Tablet,2
87,21st Century Fox,Connected TV,1
88,21st Century Fox,Desktop,1756
89,21st Century Fox,Smartphone,248
90,21st Century Fox,Tablet,498
91,220 Volt,Desktop,1
92,23andMe,Desktop,22
93,23andMe,Smartphone,116
94,23andMe,Tablet,5
95,247 Home Furnishings,Desktop,6
96,247 Home Furnishings,Smartphone,2
97,288 Group,Connected TV,4
98,288 Group,Desktop,5433
99,288 Group,Smartphone,2060
100,288 Group,Tablet,1294
101,2U,Connected TV,1
102,2U,Desktop,97
103,2U,Smartphone,258
104,2U,Tablet,7
105,2XU,Desktop,51
106,2XU,Smartphone,16
107,2XU,Tablet,1
108,310 Nutrition,Smartphone,2
109,360imprimir Portugal,Desktop,15
110,3CX,Desktop,7
111,3CX,Smartphone,42
112,3CX,Tablet,40453
113,3 Day Blinds,Smartphone,15
114,3 Day Blinds,Tablet,2
115,3M,Desktop,4893
116,3M,Smartphone,2117
117,3M,Tablet,637
118,4Cabling,Desktop,16
119,4finance Group,Desktop,65
120,4finance Group,Smartphone,77
121,4finance Group,Tablet,8
122,4home,Desktop,3
123,4home,Smartphone,3
124,4seating.com,Desktop,46
125,4seating.com,Smartphone,14
126,4seating.com,Tablet,6
127,4WD Supacentre,Desktop,146
128,4WD Supacentre,Smartphone,490
129,4WD Supacentre,Tablet,9
130,5.10.15,Smartphone,2
131,6DollarShirts.com,Smartphone,11
132,6DollarShirts.com,Tablet,1
133,7th Road Technology,Smartphone,7
134,8x8,Desktop,16
135,8x8,Smartphone,172
136,8x8,Tablet,29
137,A101 Yeni Magazacilik,Desktop,1
138,A101 Yeni Magazacilik,Smartphone,6
139,A101 Yeni Magazacilik,Tablet,1
140,A1 Comms,Desktop,6
141,A1 Comms,Smartphone,1112
142,A1 Comms,Tablet,13
143,A1 Sports,Desktop,16
144,A1 Sports,Smartphone,21
145,A1 Sports,Tablet,1
146,AAA,Desktop,47
147,AAA,Smartphone,267
148,AAA,Tablet,15
149,AAA Auto,Desktop,8
150,AAA Auto,Smartphone,4
151,AAA Auto,Tablet,1
152,Aaa Internet Publishing,Desktop,4
153,AA Group,Connected TV,1
154,AA Group,Desktop,96
155,AA Group,Smartphone,2927
156,AA Group,Tablet,397
157,Aakash Institute,Desktop,1
158,Aakash Institute,Smartphone,5
159,AAPC,Smartphone,19
160,AAPC,Tablet,2
161,Aarons Home Appliance,Smartphone,9
162,AARP,Desktop,13
163,AARP,Smartphone,385
164,AARP,Tablet,11
165,Abbey Financial Solutions,Desktop,257
166,Abbey Financial Solutions,Smartphone,37
167,Abbey Financial Solutions,Tablet,60
168,ABB Group,Smartphone,2
169,Abbott Laboratories,Connected TV,3
170,Abbott Laboratories,Desktop,7899
171,Abbott Laboratories,Smartphone,2079
172,Abbott Laboratories,Tablet,1547
173,AbbVie,Desktop,1
174,AbbVie,Smartphone,74
175,AbbVie,Tablet,6
176,Abcam,Desktop,7
177,Abcam,Tablet,3
178,ABC LIV,Desktop,4
179,ABC LIV,Smartphone,1
180,ABC Mart,Desktop,2
181,ABC Mart,Smartphone,12
182,ABC Pneus,Tablet,1
183,ABC Warehouse,Desktop,3
184,ABC Warehouse,Smartphone,1
185,Abercrombie & Fitch,Desktop,37
186,Abercrombie & Fitch,Smartphone,9337
187,Abercrombie & Fitch,Tablet,283
188,Aberdeen Asset Management,Smartphone,109
189,Aberdeen Asset Management,Tablet,1
190,AbhiBus Services India,Desktop,1
191,Abnamro,Desktop,3
192,Abnamro,Smartphone,7
193,ABN Amro,Desktop,12
194,ABN Amro,Smartphone,75
195,ABN Amro,Tablet,4
196,AboutBatteries.com,Desktop,2
197,AboutBatteries.com,Smartphone,1
198,AboutBatteries.com,Tablet,1
199,Abris Tempo,Desktop,11
200,Abris Tempo,Smartphone,12
201,Abris Tempo,Tablet,4
202,Abrisud,Desktop,11
203,Abrisud,Smartphone,2
204,Abrisud,Tablet,7
205,ABRT Venture Fund,Desktop,441
206,ABRT Venture Fund,Smartphone,97
207,ABRT Venture Fund,Tablet,208
208,Abt Electronics,Smartphone,1
209,Abu Dhabi Tourism & Culture Authority,Desktop,16
210,Abu Dhabi Tourism & Culture Authority,Smartphone,34
211,Abu Dhabi Tourism & Culture Authority,Tablet,2
212,Academic Partnerships,Smartphone,4
213,Academic Partnerships,Tablet,1
214,Academy of Art University,Desktop,13
215,Academy of Art University,Smartphone,17
216,Academy of Art University,Tablet,4
217,Acadia Healthcare Company,Desktop,2
218,Acadia Healthcare Company,Smartphone,5
219,Accenture,Desktop,187
220,Accenture,Smartphone,185
221,Accenture,Tablet,48
222,Access Industries,Desktop,112
223,Access Industries,Smartphone,230
224,Access Industries,Tablet,24
225,Access Intelligence,Desktop,1
226,Access Intelligence,Smartphone,4
227,Access Intelligence,Tablet,2
228,Accessory Geeks,Desktop,19
229,Accessory Geeks,Smartphone,24
230,Access USA Shipping,Desktop,93
231,Access USA Shipping,Smartphone,17
232,Access USA Shipping,Tablet,14
233,ACCO Brands,Desktop,29
234,ACCO Brands,Smartphone,143
235,ACCO Brands,Tablet,40
236,Accor Group,Desktop,3485
237,Accor Group,Smartphone,2440
238,Accor Group,Tablet,717
239,Accountor,Desktop,2
240,Accountor,Smartphone,1
241,Accountor,Tablet,2
242,AccuQuote Life Insurance,Smartphone,1
243,ACE Cash Express,Smartphone,10
244,ACE Engineering Academy,Desktop,4
245,ACE Engineering Academy,Smartphone,13
246,Ace Hardware,Desktop,6
247,Ace Hardware,Smartphone,59
248,Ace Hardware,Tablet,14
249,Acer,Desktop,449
250,Acer,Smartphone,357
251,Acer,Tablet,88
252,Acer Strategies INC,Smartphone,5
253,Ace Ticket,Desktop,3
254,Achievement First,Smartphone,2
255,Achmea Holding,Desktop,144
256,Achmea Holding,Smartphone,107
257,Achmea Holding,Tablet,28
258,Acibadem,Smartphone,24
259,Acibadem,Tablet,8
260,Acorns,Smartphone,6
261,Acorn Stairlifts,Desktop,28
262,Acorn Stairlifts,Smartphone,10
263,Acquia Inc,Desktop,15
264,Acquia Inc,Smartphone,6
265,Acronis- Inc.,Desktop,139
266,Acronis- Inc.,Smartphone,1692
267,Acronis- Inc.,Tablet,806
268,Active Network,Smartphone,1
269,Activetrades,Desktop,38
270,Activetrades,Smartphone,1
271,Activision Blizzard,Desktop,441
272,Activision Blizzard,Smartphone,841
273,Activision Blizzard,Tablet,124
274,Actoserba Active Retail,Desktop,9
275,Actoserba Active Retail,Smartphone,95
276,Acura Dealers,Desktop,13
277,Acura Dealers,Smartphone,140
278,Acura Dealers,Tablet,23
279,Acurian,Desktop,51
280,Acurian,Smartphone,258
281,Acurian,Tablet,16
282,ADAC,Desktop,11
283,ADAC,Smartphone,60
284,ADAC,Tablet,4
285,AdaptedMind,Connected TV,1
286,AdaptedMind,Tablet,1
287,Adclick,Desktop,1
288,Ad Counsil,Connected TV,4
289,Ad Counsil,Desktop,6554
290,Ad Counsil,Smartphone,777
291,Ad Counsil,Tablet,205
292,Addcn Technology,Smartphone,2
293,Addison Lee,Desktop,287
294,Addison Lee,Smartphone,1451
295,Addison Lee,Tablet,92
296,Adecco,Smartphone,3
297,Aderans,Desktop,19
298,Aderans,Smartphone,5
299,Aderans,Tablet,2
300,AdFinance s.r.o.,Desktop,2
301,AdFinance s.r.o.,Smartphone,1
302,AdFinance s.r.o.,Tablet,1
303,AdHarmonics,Desktop,24
304,AdHarmonics,Smartphone,2989
305,AdHarmonics,Tablet,15
306,Adhunter,Smartphone,49
307,Adhunter,Tablet,4
308,Adidas,Connected TV,1
309,Adidas,Desktop,1955
310,Adidas,Smartphone,5936
311,Adidas,Tablet,684
312,Aditya Birla Group,Desktop,3
313,Aditya Birla Group,Smartphone,26
314,Adlabs Entertainment,Smartphone,9
315,Adler Fashion Stores,Desktop,10
316,Adler Fashion Stores,Smartphone,1
317,Adler Fashion Stores,Tablet,3
318,Admiral Group,Desktop,2
319,Admiral Group,Smartphone,2
320,Admiral Markets,Desktop,8
321,Admiral Markets,Smartphone,2
322,Adobe Systems,Desktop,795
323,Adobe Systems,Smartphone,566
324,Adobe Systems,Tablet,82
325,Adolf Wurth Gmbh & Co Kg,Desktop,60
326,Adolf Wurth Gmbh & Co Kg,Smartphone,11
327,Adolf Wurth Gmbh & Co Kg,Tablet,5
328,Adorama,Desktop,6
329,Adorama,Smartphone,5
330,Adore Beauty,Desktop,55
331,Adore Beauty,Smartphone,1
332,Adore Beauty,Tablet,11
333,Adore Me,Smartphone,15
334,Adore Me,Tablet,2
335,ADP Global,Desktop,1
336,ADP Global,Smartphone,6
337,ADP Global,Tablet,1
338,Adrenalin,Desktop,72
339,Adrenalin,Smartphone,79
340,Adrenalin,Tablet,4
341,Adrian Flux,Desktop,92
342,Adrian Flux,Smartphone,70
343,Adrian Flux,Tablet,30
344,Ad Stopper,Desktop,568
345,Adtalem Global Education,Desktop,3
346,Adtalem Global Education,Smartphone,74
347,Adtalem Global Education,Tablet,4
348,ADT Corporation,Desktop,295
349,ADT Corporation,Smartphone,2476
350,ADT Corporation,Tablet,31
351,Advance Auto Parts,Desktop,9
352,Advance Auto Parts,Smartphone,33
353,Advance Create,Desktop,2
354,Advance Create,Smartphone,5
355,Advance Create,Tablet,1
356,Advanced Info Service,Smartphone,8
357,Advanced Micro Devices,Desktop,8
358,Advanced Micro Devices,Smartphone,6
359,Advanced Payment Solutions,Desktop,13
360,Advanced Payment Solutions,Smartphone,4
361,Advanced Payment Solutions,Tablet,5
362,Advance Publications,Desktop,156
363,Advance Publications,Smartphone,493
364,Advance Publications,Tablet,34
365,Advantage Pilot Technology,Desktop,1
366,Advantage Pilot Technology,Smartphone,18
367,Advantage Pilot Technology,Tablet,5
368,Advanzia Bank,Desktop,33
369,Advanzia Bank,Smartphone,42
370,Advent International,Smartphone,11
371,Adventis Health,Desktop,1
372,Adventis Health,Smartphone,6
373,Adventis Health,Tablet,1
374,Adventist Health System,Desktop,1
375,Adventist Health System,Smartphone,29
376,Adventist Health System,Tablet,2
377,Adventure Co,Desktop,1
378,Adventure Co,Smartphone,1
379,Adventures On The Gorge,Smartphone,1
380,Ad Victoriam Ventures,Smartphone,31
381,Adviqo,Smartphone,1
382,AdvisorWorld.com,Smartphone,5
383,Advocate Health Care,Smartphone,80
384,Aegon,Desktop,23
385,Aegon,Smartphone,6
386,Aegon,Tablet,1
387,Aekyung Group,Desktop,1
388,Aekyung Group,Smartphone,8
389,Aeon,Desktop,99
390,Aeon,Smartphone,26
391,Aeon,Tablet,2
392,Aer Lingus,Desktop,208
393,Aer Lingus,Smartphone,9
394,Aer Lingus,Tablet,1
395,Aeroklas,Desktop,1
396,Aerolineas Argentinas,Desktop,30
397,Aerolineas Argentinas,Smartphone,45
