,advertiser,devicecategory,count
185,ABN Amro,Smartphone,64
186,ABN Amro,Tablet,4
187,AboutBatteries.com,Desktop,1
188,AboutBatteries.com,Smartphone,1
189,AboutBatteries.com,Tablet,1
190,Abris Tempo,Desktop,9
191,Abris Tempo,Smartphone,11
192,Abris Tempo,Tablet,4
193,Abrisud,Desktop,10
194,Abrisud,Smartphone,2
195,Abrisud,Tablet,5
196,ABRT Venture Fund,Desktop,384
197,ABRT Venture Fund,Smartphone,75
198,ABRT Venture Fund,Tablet,189
199,Abt Electronics,Smartphone,1
200,Abu Dhabi Tourism & Culture Authority,Desktop,14
201,Abu Dhabi Tourism & Culture Authority,Smartphone,26
202,Abu Dhabi Tourism & Culture Authority,Tablet,2
203,Academic Partnerships,Smartphone,4
204,Academic Partnerships,Tablet,1
205,Academy of Art University,Desktop,11
206,Academy of Art University,Smartphone,13
207,Academy of Art University,Tablet,1
208,Acadia Healthcare Company,Desktop,2
209,Acadia Healthcare Company,Smartphone,4
210,Accenture,Desktop,159
211,Accenture,Smartphone,155
212,Accenture,Tablet,40
213,Access Industries,Desktop,92
214,Access Industries,Smartphone,190
215,Access Industries,Tablet,15
216,Access Intelligence,Smartphone,4
217,Access Intelligence,Tablet,2
218,Accessory Geeks,Desktop,17
219,Accessory Geeks,Smartphone,23
220,Access USA Shipping,Desktop,75
221,Access USA Shipping,Smartphone,12
222,Access USA Shipping,Tablet,8
223,ACCO Brands,Desktop,24
224,ACCO Brands,Smartphone,124
225,ACCO Brands,Tablet,34
226,Accor Group,Desktop,2884
227,Accor Group,Smartphone,2038
228,Accor Group,Tablet,607
229,Accountor,Desktop,2
230,Accountor,Smartphone,1
231,AccuQuote Life Insurance,Smartphone,1
232,ACE Cash Express,Smartphone,9
233,ACE Engineering Academy,Desktop,4
234,ACE Engineering Academy,Smartphone,11
235,Ace Hardware,Desktop,5
236,Ace Hardware,Smartphone,49
237,Ace Hardware,Tablet,11
238,Acer,Desktop,371
239,Acer,Smartphone,293
240,Acer,Tablet,72
241,Acer Strategies INC,Smartphone,5
242,Ace Ticket,Desktop,2
243,Achievement First,Smartphone,1
244,Achmea Holding,Desktop,124
245,Achmea Holding,Smartphone,82
246,Achmea Holding,Tablet,25
247,Acibadem,Smartphone,19
248,Acibadem,Tablet,6
249,Acorns,Smartphone,6
250,Acorn Stairlifts,Desktop,22
251,Acorn Stairlifts,Smartphone,10
252,Acquia Inc,Desktop,12
253,Acquia Inc,Smartphone,5
254,Acronis- Inc.,Desktop,118
255,Acronis- Inc.,Smartphone,1416
256,Acronis- Inc.,Tablet,663
257,Active Network,Smartphone,1
258,Activetrades,Desktop,31
259,Activetrades,Smartphone,1
260,Activision Blizzard,Desktop,361
261,Activision Blizzard,Smartphone,688
262,Activision Blizzard,Tablet,104
263,Actoserba Active Retail,Desktop,6
264,Actoserba Active Retail,Smartphone,85
265,Acura Dealers,Desktop,7
266,Acura Dealers,Smartphone,121
267,Acura Dealers,Tablet,17
268,Acurian,Desktop,41
269,Acurian,Smartphone,216
270,Acurian,Tablet,9
271,ADAC,Desktop,10
272,ADAC,Smartphone,54
273,ADAC,Tablet,4
274,AdaptedMind,Connected TV,1
275,AdaptedMind,Tablet,1
276,Adclick,Desktop,1
277,Ad Counsil,Connected TV,2
278,Ad Counsil,Desktop,5415
279,Ad Counsil,Smartphone,638
280,Ad Counsil,Tablet,177
281,Addcn Technology,Smartphone,1
282,Addison Lee,Desktop,221
283,Addison Lee,Smartphone,1206
284,Addison Lee,Tablet,79
285,Adecco,Smartphone,3
286,Aderans,Desktop,15
287,Aderans,Smartphone,5
288,Aderans,Tablet,1
289,AdFinance s.r.o.,Desktop,2
290,AdFinance s.r.o.,Smartphone,1
291,AdFinance s.r.o.,Tablet,1
292,AdHarmonics,Desktop,23
293,AdHarmonics,Smartphone,2514
294,AdHarmonics,Tablet,14
295,Adhunter,Smartphone,41
296,Adhunter,Tablet,4
297,Adidas,Desktop,1613
298,Adidas,Smartphone,4951
299,Adidas,Tablet,569
300,Aditya Birla Group,Desktop,3
301,Aditya Birla Group,Smartphone,23
302,Adlabs Entertainment,Smartphone,8
303,Adler Fashion Stores,Desktop,7
304,Adler Fashion Stores,Smartphone,1
305,Adler Fashion Stores,Tablet,3
306,Admiral Group,Desktop,2
307,Admiral Group,Smartphone,2
308,Admiral Markets,Desktop,6
309,Admiral Markets,Smartphone,2
310,Adobe Systems,Desktop,663
311,Adobe Systems,Smartphone,473
312,Adobe Systems,Tablet,63
313,Adolf Wurth Gmbh & Co Kg,Desktop,46
314,Adolf Wurth Gmbh & Co Kg,Smartphone,7
315,Adolf Wurth Gmbh & Co Kg,Tablet,4
316,Adorama,Desktop,4
317,Adorama,Smartphone,5
318,Adore Beauty,Desktop,46
319,Adore Beauty,Smartphone,1
320,Adore Beauty,Tablet,8
321,Adore Me,Smartphone,13
322,Adore Me,Tablet,1
323,ADP Global,Desktop,1
324,ADP Global,Smartphone,5
325,ADP Global,Tablet,1
326,Adrenalin,Desktop,63
327,Adrenalin,Smartphone,69
328,Adrenalin,Tablet,4
329,Adrian Flux,Desktop,73
330,Adrian Flux,Smartphone,61
331,Adrian Flux,Tablet,25
332,Ad Stopper,Desktop,471
333,Adtalem Global Education,Desktop,3
334,Adtalem Global Education,Smartphone,57
335,Adtalem Global Education,Tablet,3
336,ADT Corporation,Desktop,241
337,ADT Corporation,Smartphone,2024
338,ADT Corporation,Tablet,24
339,Advance Auto Parts,Desktop,8
340,Advance Auto Parts,Smartphone,28
341,Advance Create,Desktop,2
342,Advance Create,Smartphone,3
343,Advance Create,Tablet,1
344,Advanced Info Service,Smartphone,7
345,Advanced Micro Devices,Desktop,7
346,Advanced Micro Devices,Smartphone,6
347,Advanced Payment Solutions,Desktop,10
348,Advanced Payment Solutions,Smartphone,4
349,Advanced Payment Solutions,Tablet,5
350,Advance Publications,Desktop,139
351,Advance Publications,Smartphone,408
352,Advance Publications,Tablet,29
353,Advantage Pilot Technology,Smartphone,15
354,Advantage Pilot Technology,Tablet,5
355,Advanzia Bank,Desktop,26
356,Advanzia Bank,Smartphone,36
357,Advent International,Smartphone,8
358,Adventis Health,Desktop,1
359,Adventis Health,Smartphone,5
360,Adventis Health,Tablet,1
361,Adventist Health System,Desktop,1
362,Adventist Health System,Smartphone,24
363,Adventist Health System,Tablet,1
364,Adventure Co,Smartphone,1
365,Adventures On The Gorge,Smartphone,1
366,Ad Victoriam Ventures,Smartphone,24
367,Adviqo,Smartphone,1
368,AdvisorWorld.com,Smartphone,5
369,Advocate Health Care,Smartphone,65
370,Aegon,Desktop,20
371,Aegon,Smartphone,5
372,Aegon,Tablet,1
373,Aekyung Group,Desktop,1
374,Aekyung Group,Smartphone,8
375,Aeon,Desktop,81
376,Aeon,Smartphone,21
377,Aeon,Tablet,2
378,Aer Lingus,Desktop,182
379,Aer Lingus,Smartphone,8
380,Aer Lingus,Tablet,1
381,Aeroklas,Desktop,1
382,Aerolineas Argentinas,Desktop,27
383,Aerolineas Argentinas,Smartphone,37
384,Aerolineas Argentinas,Tablet,3
385,AeroMexico,Desktop,1
386,AeroMexico,Smartphone,8
387,Aeroplan,Desktop,59
388,Aeroplan,Smartphone,30
389,Aeroplan,Tablet,12
390,Aeroports De Montreal,Desktop,10
391,Aerotek,Desktop,1
392,AETN,Desktop,28
393,AETN,Smartphone,1
394,AETN,Tablet,1
395,Aetna,Desktop,2
396,Aetna,Smartphone,131
397,Aetna,Tablet,14
398,Aetrex Worldwide,Desktop,1
399,Affordable Renovating Solutions,Smartphone,12
400,Afibel,Desktop,68
401,Afibel,Smartphone,103
402,Afibel,Tablet,13
403,AGCO,Desktop,2
404,AGCO,Smartphone,2
405,Ageas  SA,Desktop,8
406,Ageas  SA,Smartphone,7
407,Ageas  SA,Tablet,1
408,AgentSelly,Desktop,24
409,AgentSelly,Tablet,6
410,Agenzie Nazzano,Desktop,3
411,Agenzie Nazzano,Smartphone,4
412,Agenzie Nazzano,Tablet,6
413,Age Partnership,Desktop,232
414,Age Partnership,Smartphone,1359
415,Age Partnership,Tablet,1408
416,Age UK,Desktop,206
417,Age UK,Smartphone,420
418,Age UK,Tablet,57
419,Agilent Technologies,Desktop,1
420,Agilent Technologies,Smartphone,85
421,Agilent Technologies,Tablet,2
422,AGL Energy,Desktop,2
423,AGL Energy,Smartphone,8
424,AGL Energy,Tablet,1
425,Agora SA,Desktop,1
426,Agora SA,Smartphone,4
427,Agrokor,Desktop,4
428,Agrokor,Smartphone,21
429,Agrokor,Tablet,9
430,Agrolimen,Tablet,1
431,ahlikolesterol.com,Smartphone,2
432,Ahold Delhaize,Desktop,118
433,Ahold Delhaize,Smartphone,217
434,Ahold Delhaize,Tablet,25
435,AIA Group,Desktop,114
436,AIA Group,Smartphone,60
437,AIA Group,Tablet,13
438,AIG,Desktop,53
439,AIG,Smartphone,425
440,AIG,Tablet,16
441,Airarabia,Desktop,11
442,Airarabia,Smartphone,5
443,Air Arabia Holding,Desktop,3108
444,Air Arabia Holding,Smartphone,587
445,Air Arabia Holding,Tablet,626
446,Air Austral,Desktop,7
447,Air Austral,Smartphone,5
448,Air Austral,Tablet,1
449,Air Baltic,Desktop,56
450,Air Baltic,Smartphone,33
451,Air Baltic,Tablet,9
452,Air Berlin,Desktop,7
453,Airbnb,Desktop,512
454,Airbnb,Smartphone,1609
455,Airbnb,Tablet,60
456,Air Canada,Desktop,28
457,Air Canada,Smartphone,7
458,Air Canada,Tablet,8
459,Air China,Connected TV,1
460,Air China,Desktop,92
461,Air China,Smartphone,1
462,Air China,Tablet,42
463,Air France-KLM Group,Desktop,116
464,Air France-KLM Group,Smartphone,63
465,Air France-KLM Group,Tablet,16
466,Airline Investments,Desktop,1103
467,Airline Investments,Smartphone,569
468,Airline Investments,Tablet,1521
469,Air New Zealand,Desktop,322
470,Air New Zealand,Smartphone,413
471,Air New Zealand,Tablet,90
472,Airpaz,Desktop,4
473,Airpaz,Smartphone,35
474,Airpaz,Tablet,2
475,Airport Home Appliance,Desktop,1
476,Airport Home Appliance,Smartphone,1
477,Air Serbia,Desktop,3
478,Air Serbia,Smartphone,13
479,Air Serbia,Tablet,1
480,A. JAFFE,Desktop,1
481,A. JAFFE,Smartphone,2
482,A. JAFFE,Tablet,2
483,AJ BELL HOLDINGS LTD,Desktop,683
484,AJ BELL HOLDINGS LTD,Smartphone,752
485,AJ BELL HOLDINGS LTD,Tablet,375
486,Ajinomoto,Desktop,3
487,Ajinomoto,Tablet,1
488,AJ Madison,Desktop,13
489,AJ Madison,Smartphone,15
490,AJ Madison,Tablet,1
491,AJM Shopping,Desktop,1
492,Aj Postorder AB,Desktop,43
493,Akamai,Smartphone,2
494,Akamai Technologies,Smartphone,4
495,Akamon Entertainment,Tablet,1
496,AKRON UG (haftungsbeschränkt),Desktop,1
497,AKRON UG (haftungsbeschränkt),Tablet,1
498,Akshaya Patra Foundation,Desktop,331
499,Akshaya Patra Foundation,Tablet,14
500,Akzo Nobel,Desktop,288
501,Akzo Nobel,Smartphone,243
502,Akzo Nobel,Tablet,485
503,Alaeo,Desktop,5
504,alagasco,Desktop,1
505,alagasco,Smartphone,4
506,Alain Afflelou Acousticien,Smartphone,1
507,Alarm,Smartphone,5
508,Alarm,Tablet,4
509,Alaska Air Group,Smartphone,1
510,Albatros Travel,Desktop,1
511,Albatros Travel,Smartphone,3
512,Albatros Travel,Tablet,2
513,Albee Baby,Smartphone,6
514,Albee Baby,Tablet,1
515,Alberta Blue Cross,Desktop,1
516,Alberta Blue Cross,Smartphone,9
517,Alberta Blue Cross,Tablet,5
518,Alberta Motor Association,Desktop,53
519,Alberta Motor Association,Smartphone,105
520,Alberta Motor Association,Tablet,86
521,Alberta Treasury Branches,Desktop,27
522,Alberta Treasury Branches,Smartphone,37
523,Alberta Treasury Branches,Tablet,11
524,Albertsons Companies LLC,Smartphone,13
525,Albumprinter,Desktop,6
526,Albumprinter,Smartphone,41
527,Albumprinter,Tablet,52
528,Ald Automotive Group,Desktop,3
529,Ald Automotive Group,Smartphone,3
530,Ald Automotive Group,Tablet,4
531,Aldi,Desktop,50
532,Aldi,Smartphone,1016
533,Aldi,Tablet,53
534,Aldo Group,Desktop,40
535,Aldo Group,Smartphone,86
536,Aldo Group,Tablet,16
537,ALEATORY,Desktop,1
538,Alert One Services,Smartphone,3
539,Alex van Groningen Management Consultants BV,Smartphone,1
540,Alex van Groningen Management Consultants BV,Tablet,2
541,Alfabank,Connected TV,1
542,Alfabank,Desktop,74
543,Alfabank,Smartphone,25
544,Alfabank,Tablet,1
545,Alfred Karcher,Desktop,26
546,Alfred Karcher,Smartphone,9
547,Alfred Karcher,Tablet,11
548,Alghanim Industries,Desktop,17
549,Alghanim Industries,Smartphone,1
550,Alghanim Industries,Tablet,1
551,Algonquin College Of Applied Arts & Technology.,Smartphone,2
552,Alibaba Group Holding,Desktop,1558
553,Alibaba Group Holding,Smartphone,5955
554,Alibaba Group Holding,Tablet,177
555,alifca.com,Desktop,6
556,alifca.com,Smartphone,1
557,Align Technology,Desktop,132
558,Align Technology,Smartphone,24
559,Align Technology,Tablet,15
560,Alimentation Couche-Tard,Desktop,24
561,Alimentation Couche-Tard,Smartphone,15
562,Alimentation Couche-Tard,Tablet,1
563,Alinea,Smartphone,1
564,Alinta Energy,Desktop,3
565,Alinta Energy,Smartphone,5
566,Alkermes,Smartphone,1
567,Allan Gray Proprietary,Smartphone,1656
568,Allan Gray Proprietary,Tablet,65
569,Allbirds,Desktop,36
570,Allbirds,Smartphone,68
571,Allbirds,Tablet,11
572,All Canadian Self Storage,Desktop,1
573,All Canadian Self Storage,Smartphone,2
574,All Connect,Desktop,11
575,All Connect,Smartphone,2
576,Allegiant Air,Desktop,9
577,Allegiant Air,Smartphone,12
578,Allegiant Air,Tablet,11
579,Allegra Network,Tablet,1
580,Allegro Group,Desktop,16
581,Allegro Group,Smartphone,28
582,Allegro Group,Tablet,2
583,Allegro Partners,Desktop,1
584,Allegro Partners,Smartphone,1
585,Allergan,Desktop,2
586,Allergan,Smartphone,185
587,Allergan,Tablet,7
588,Aller Media,Desktop,12
589,Aller Media,Smartphone,7
590,Aller Media,Tablet,1
591,Allgäu GmbH,Desktop,15
592,Allgäu GmbH,Smartphone,11
593,AllHeart,Smartphone,1
594,Alliance France,Smartphone,1
595,Alliant Energy,Smartphone,1
596,Alliant Energy,Tablet,1
597,Allianz Group,Connected TV,3
598,Allianz Group,Desktop,3271
599,Allianz Group,Smartphone,3517
600,Allianz Group,Tablet,1480
601,Allied Properties,Desktop,4
602,Allied Properties,Smartphone,8
603,alllocal.net,Smartphone,2
604,Allnatura Vertriebs,Smartphone,1
605,All Nippon Airways,Desktop,66
606,All Nippon Airways,Smartphone,118
607,All Nippon Airways,Tablet,24
608,Allo.ua,Desktop,2
609,Allo.ua,Smartphone,3
610,AllPosters.com,Smartphone,1
611,AllSaints,Smartphone,30
612,AllSaints,Tablet,46
613,All Star Directories,Desktop,2
614,Allstate,Desktop,53
615,Allstate,Smartphone,658
616,Allstate,Tablet,71
617,Alltours Flugreisen,Desktop,1
618,All Web Leads,Smartphone,7
619,All Web Leads,Tablet,1
620,Ally Financial,Desktop,1
621,Ally Financial,Smartphone,21
622,Ally Financial,Tablet,1
623,All You Can Books,Smartphone,16
624,All You Can Books,Tablet,4
625,Al Mashreq Bank,Smartphone,19
626,Almundo,Desktop,3
627,Alpargatas,Desktop,15
628,Alpargatas,Smartphone,11
629,Alpari,Desktop,111
630,Alpari,Smartphone,224
631,Alpari,Tablet,15
632,Alphabet,Connected TV,3
633,Alphabet,Desktop,2627
634,Alphabet,Smartphone,2007
635,Alphabet,Tablet,874
636,Alpha Industries Inc,Smartphone,1
637,Alpha Media Group,Desktop,1
638,Alpha Private Equity Fund,Desktop,96
639,Alpha Private Equity Fund,Smartphone,413
640,Alpha Private Equity Fund,Tablet,24
641,Alpharooms,Desktop,146
642,Alpharooms,Smartphone,309
643,Alpharooms,Tablet,65
644,Alpine Element,Desktop,17
645,Alpine Element,Smartphone,68
646,Alpine Element,Tablet,41
647,alpinresorts,Desktop,7
648,Alsa Group,Desktop,1
649,Alsa Group,Smartphone,9
650,Alsa Group,Tablet,6
651,Alshaya,Desktop,666
652,Alshaya,Smartphone,352
653,Alshaya,Tablet,61
654,Altarea Cogedim,Desktop,21
655,Altarea Cogedim,Smartphone,8
656,Altarea Cogedim,Tablet,3
657,Al Tayer Group,Desktop,123
658,Al Tayer Group,Smartphone,644
659,Al Tayer Group,Tablet,29
660,Al Tayyar Travel Group,Desktop,32
661,Al Tayyar Travel Group,Smartphone,25
662,Al Tayyar Travel Group,Tablet,19
663,ALT Digital Media Entertainment,Smartphone,8
664,Alterego,Desktop,9
665,Alterego,Smartphone,2
666,Alterego,Tablet,1
667,Alteri Investors,Desktop,7
668,Alteri Investors,Smartphone,2
669,Altex Romania,Desktop,32
670,Altex Romania,Smartphone,41
671,Altex Romania,Tablet,5
672,Altice Group,Desktop,99
673,Altice Group,Smartphone,374
674,Altice Group,Tablet,32
675,Altigi,Smartphone,11
676,Altima Dental Group,Smartphone,1
677,Altınbas Holding,Desktop,6
678,Altisource Portfolio Solutions,Desktop,1
679,Altisource Portfolio Solutions,Smartphone,2
680,Altitude Sports-,Desktop,85
681,Altitude Sports-,Smartphone,34
682,Altitude Sports-,Tablet,142
683,Altor Equity Partners,Desktop,2
684,Altor Equity Partners,Smartphone,2
685,Altria Group,Smartphone,1
686,Altus assessments,Desktop,786
687,Altus assessments,Smartphone,245
688,Altus assessments,Tablet,199
689,Alza,Desktop,33
690,Alza,Smartphone,71
691,Alza,Tablet,15
692,Alzheimer's Association,Desktop,1
693,Alzheimer's Association,Smartphone,33
694,Alzheimer's Association,Tablet,4
695,Alzheimer's Society,Desktop,36
696,Alzheimer's Society,Smartphone,58
697,Alzheimer's Society,Tablet,17
698,AMain Performance Hobbies,Desktop,1
699,AMain Performance Hobbies,Smartphone,2
700,amansis,Desktop,6
701,Amara Living,Desktop,256
702,Amara Living,Smartphone,610
703,Amara Living,Tablet,129
704,AMARO,Desktop,26
705,AMARO,Smartphone,12
706,Amazon Corp,Connected TV,5
707,Amazon Corp,Desktop,19684
708,Amazon Corp,Smartphone,108686
709,Amazon Corp,Tablet,13513
710,Ambiente Direct,Desktop,11
711,Ambiente Direct,Smartphone,5
712,Ambre et Valentine,Desktop,5
713,Ambre et Valentine,Smartphone,3
714,AMC Networks,Smartphone,31
715,AMC Networks,Tablet,1
716,American Advisors Group,Desktop,1
717,American Advisors Group,Smartphone,3
718,American Apparel,Smartphone,1
719,American Association of Orthodontists,Desktop,2
720,American Association of Orthodontists,Smartphone,2
721,American Bullion,Desktop,14
722,American Bullion,Smartphone,7
723,American Bullion,Tablet,2
724,American Career College,Smartphone,20
725,American Century Companies,Tablet,1
726,American Cruiselines,Desktop,23
727,American Cruiselines,Smartphone,67
728,American Cruiselines,Tablet,9
729,American Dental Association,Smartphone,7
730,American Dental Association,Tablet,2
731,American Diabetes Association,Desktop,8
732,American Diabetes Association,Smartphone,2
733,American Eagle Outfitters,Desktop,31
734,American Eagle Outfitters,Smartphone,111
735,American Eagle Outfitters,Tablet,5
736,American Express Group,Connected TV,5
737,American Express Group,Desktop,1765
738,American Express Group,Smartphone,1957
739,American Express Group,Tablet,330
740,American Family Insurance,Desktop,12
741,American Family Insurance,Smartphone,168
742,American Family Insurance,Tablet,30
743,American Floor Mats,Desktop,1
744,American Floor Mats,Smartphone,13
745,American Floor Mats,Tablet,1
746,American Greetings Corporation,Desktop,78
747,American Greetings Corporation,Smartphone,204
748,American Greetings Corporation,Tablet,50
749,American Heart Association,Desktop,5
750,American Heart Association,Smartphone,10
751,American Heart Association,Tablet,3
752,American Medical ID,Desktop,4
753,American Medical ID,Smartphone,10
754,American Medical ID,Tablet,9
755,American Musical Supply,Smartphone,2
756,American Precious Metals Exchange,Desktop,4
757,American Public University System,Desktop,1
758,American Public University System,Smartphone,19
759,American Public University System,Tablet,1
760,American Senior Communities,Smartphone,1
761,American Society of Clinical Oncology,Desktop,30
762,American Society of Clinical Oncology,Smartphone,16
763,american substance abuse professionals,Smartphone,1
764,American Tire Distributors,Smartphone,1
765,American Writers & Artists,Smartphone,1
766,Ameriprise Financial,Smartphone,2
767,Amer Sports,Desktop,231
768,Amer Sports,Smartphone,328
769,Amer Sports,Tablet,77
770,Amgen,Desktop,91
771,Amgen,Smartphone,29
772,Amgen,Tablet,22
773,Amica Mutual Insurance Company,Desktop,9
774,Amica Mutual Insurance Company,Smartphone,1
775,Amica Mutual Insurance Company,Tablet,6
776,A.M. Marketplaces,Smartphone,3
777,Amnesty International,Desktop,3
778,Amnesty International,Smartphone,4
779,AMN Healthcare,Desktop,2
780,AMN Healthcare,Smartphone,24
781,AMN Healthcare,Tablet,7
782,AMO Latino,Smartphone,3
783,Amorepacific,Desktop,4
784,Amorepacific,Smartphone,26
785,Amorepacific,Tablet,1
786,Amplifon,Desktop,182
787,Amplifon,Smartphone,334
788,Amplifon,Tablet,205
789,Ampush Media,Desktop,1
790,Ampush Media,Smartphone,110
791,AMR Corporation,Desktop,26
792,AMR Corporation,Smartphone,69
793,AMR Corporation,Tablet,19
794,AM Resorts- LLC,Smartphone,1
795,Amsoil,Desktop,7
796,Amsoil,Smartphone,13
797,Amsoil,Tablet,5
798,Amutus,Smartphone,37
799,Anadolu Group,Smartphone,3
