,datetime,total_estimated_backfill_revenue
0,2019-09-01 07:00:00,0.6751497700028858
1,2019-09-01 08:00:00,168.26902292957942
2,2019-09-01 09:00:00,155.71844295945598
3,2019-09-01 10:00:00,132.82439293759725
4,2019-09-01 11:00:00,119.62641605703067
5,2019-09-01 12:00:00,112.80481642171641
6,2019-09-01 13:00:00,120.47957984639348
7,2019-09-01 14:00:00,115.17606885972839
8,2019-09-01 15:00:00,111.00049189855113
9,2019-09-01 16:00:00,111.65352384898897
10,2019-09-01 17:00:00,104.9394254607709
11,2019-09-01 18:00:00,101.50768035228486
12,2019-09-01 19:00:00,101.71909213128671
13,2019-09-01 20:00:00,103.38429903685187
14,2019-09-01 21:00:00,101.29737701145054
15,2019-09-01 22:00:00,93.64708878892014
16,2019-09-01 23:00:00,75.97326159478483
17,2019-09-02 00:00:00,59.96562402826682
18,2019-09-02 01:00:00,58.49007508370124
19,2019-09-02 02:00:00,52.371844788757
20,2019-09-02 03:00:00,49.87816046618257
21,2019-09-02 04:00:00,50.89259748971255
22,2019-09-02 05:00:00,69.13912896660982
23,2019-09-02 06:00:00,109.67302421277876
24,2019-09-02 07:00:00,147.4957257149391
