,buyer,total_estimated_backfill_revenue
0,,0.00764156779682848
1,Aarki AdX,1.058776193578635
2,Acceleration // DBM,1.6784350345932397
3,Accordant Media,0.0087426108987371
4,Accordant Media w/ Invite Media,0.03234519530345732
5,Accuen (AE) w/DBM,0.029684615031830376
6,Accuen AT w/DBM,0.0092742339486885
7,Accuen AU w/ DBM,5.051291592280267
8,Accuen BE w/DBM,0.09358373361849279
9,Accuen Canada w/ DBM,0.005357314197346418
10,Accuen EMEA w/DBM,2.091635147216672
11,Accuen HK w/DBM,0.014737544086442539
12,Accuen IE w/ DBM,5.22597947546368
13,Accuen (IT) w/DBM,0.013922443521447501
14,Accuen NL w/Invite (Legacy),0.3243327875161001
15,Accuen NO w/ DBM,0.05343592242270393
16,Accuen OMD NZ w/ DBM,0.5915041828900532
17,Accuen PHD NZ w/ DBM,0.43479863424788734
18,Accuen (PL) w/DBM,0.0017288020047878626
19,Accuen (TR) w/DBM,0.00033935134409571633
20,Accuen UK w/Amazon,0.7404317658585872
21,Accuen UK w/ The Trade Desk,1.411199548650668
22,Accuen US w/Amazon,0.020502408566286476
23,Accuen w/ Invite Media,1.9738186052687097
24,Accuen w/ The Trade Desk,0.00362193880090537
25,Accuen w/ Verizon Media DSP,0.3469953769144148
26,Active Agent,0.3086987971429544
27,Acuity Ads,0.20399206317331461
28,Acuity Ads w/ DBM,0.005948919446133139
29,Adara DBM Adx,1.3821468008915
30,Adara Media,1.722402808013486
31,Addictive Mobility,0.03435418812746223
32,Ad Effectiveness Surveys 2,0.5968450636082667
33,Adelement - INR,0.04500308260562321
34,Adello Group AG,0.03815607352487356
35,Adelphic Mobile,0.08081656368009268
36,Adelphic_US_Publicis,0.0008479675232609667
37,Adform,0.0015225618416691584
38,Adform Group 1,0.21525228307522185
39,Adform Group 3,1.27359874117453
40,Adhesive- LLC,0.0020048844542216657
41,Adhood TR,0.14958327878593916
42,Adikteev,0.6256274806356974
43,Adizio w/ Iponweb (BS),0.07538119045686469
44,Admatic w/DBM (AU),0.7265208257725327
45,AdMaxim EMEA,0.6049048634490292
46,Adobe APAC,0.147273553293801
47,Adobe EU,0.25716587160384774
48,Adobe NA,2.870558229574445
49,AdPilot (PL) / Cloud Technologies,0.00025307557864765286
50,AdPrime w/ Beeswax,0.0030763472936909493
51,AdReady,0.0547423840137746
52,AdRiver,0.006671170854026928
53,AdRoll.com 3,3.259469660039356
54,AdSniper.ru,0.0066687058321569835
55,Adspend,0.0006409056861856144
56,AdSwerve // DBM,2.7277784111495533
57,AdTaily w/ DBM,0.17035190971417966
58,Adtegrity BPN AdX Account,0.05839308140316266
59,advanced STORE,0.007390957240050772
60,advanced STORE w/Adform,0.11973679398464908
61,advanced STORE w/ DBM,0.1216332174765932
62,Advance Media,0.16291904710233984
63,Adxcel,0.0022020862038172394
64,adXoptdcom w/ DBM,0.01552306438899824
65,Aegis Media Network UK w/DBM,15.312426626863555
66,Aegis Media Network w/ Invite Media,0.8552434461470868
67,Aegis Media Network w/ Invite Media (AU),1.559659599137869
68,Aegis Media Network w/ Invite Media (Europe),8.457635472070493
69,Aegis Media Network w/ Mediamath (AU),0.046482917401546656
70,Aegis Media Network w/ MediaMath (Europe),0.0037961336797147933
71,Affec.tv w/AppNexus,0.0008019537816886662
72,Affiperf BE w/DBM,0.0248375603615625
73,Affiperf CA w/ Amazon,0.012399881679778343
74,AffiPerf (EMEA) w/ DBM (EUR),0.08525853308973298
75,Affiperf NL w/ DBM,0.0030073266813324985
76,Affiperf UK w/Amazon,0.0007822336067291089
77,Affiperf US – w/Amazon,0.05156825751924251
78,AffiPerf (US) w/ DBM (USD),0.0932263054473508
79,AffiPerf w/ MediaMath (USD),0.4021453112106869
80,Affle India,0.001109259841475102
81,Agency M w/ DBM,0.5246749749739833
82,AGrant CN,0.0008537192409575043
83,AKQA US w/ Amazon,0.007145276727012953
84,AKQA w/ DBM,0.027930341134386416
85,AKQA w/ TTD,0.03029758380348995
86,Amazon APAC,0.24084824849877068
87,Amazon.com,15.316991847366694
88,Amazon EU,49.39079195386228
89,Amnet Canada w/ Amazon,0.001051742664509726
90,Amnet Canada w/ Invite,0.15848775945413596
91,Amnet Canada w/ The Trade Desk,0.012821400419538881
92,Amnet Canada w/ Verizon Media DSP,0.007141168357229711
93,Amnet ES w/Amazon,0.008207701152959107
94,Amnet ES w/ DBM,0.034898957960720005
95,Amnet FR w/DBM,0.03246269467925802
96,Amnet HK w/ DBM,0.06770593402781364
97,Amnet India w/ DBM,0.0028166983233901106
98,Amnet India w/ MediaMath,0.0011380184299577898
99,Amnet (IT) w/DBM,0.3919047886889801
100,Amnet NL w/Amazon,0.038824094451628564
101,Amnet NL w/DBM,0.08247223670273886
